num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         8;  0.0100;   7;   2876;  0.2810;   93.2;   97.6;  1.16e-01;
         8;  0.1000;   1;     44;  0.4220;   94.0;   88.8;  1.74e-01;
         8;  0.1000;   3;     19;  0.2950;   94.0;   88.8;  1.74e-01;
         8;  0.1000;   7;   2376;  0.2040;   88.0;   91.6;  1.98e-01;
         9;  0.0000;   1;    999;  4.0880;  100.0;   96.8;  1.25e-05;
         9;  0.0000;   3;     15;  0.0940;   98.8;   97.2;  1.20e-02;
         9;  0.0000;   7;   1501;  0.0630;   98.0;   99.2;  1.45e-02;
         9;  0.0100;   1;    144;  0.4440;   98.4;   98.8;  6.42e-02;
         9;  0.0100;   3;     39;  0.2020;   98.4;   98.8;  6.42e-02;
         9;  0.0100;   7;   2376;  0.0800;   89.2;   99.2;  1.37e-01;
         9;  0.1000;   1;     36;  0.1560;   96.8;   92.8;  1.56e-01;
         9;  0.1000;   3;     19;  0.1260;   96.8;   92.8;  1.56e-01;
         9;  0.1000;   7;   1751;  0.0630;   50.8;   91.6;  3.61e-01;
         0;  0.0000;   1;    634;  1.7100;  100.0;   97.2;  1.65e-06;
         0;  0.0000;   3;     13;  0.0790;   99.2;  100.0;  8.02e-03;
         0;  0.0000;   7;   1501;  0.0630;   99.2;   99.2;  7.48e-03;
         0;  0.0100;   1;    123;  0.3990;   99.2;  100.0;  5.23e-02;
         0;  0.0100;   3;     42;  0.2010;   99.2;  100.0;  5.23e-02;
         0;  0.0100;   7;   3126;  0.1000;   95.6;   98.0;  9.03e-02;
         0;  0.1000;   1;     49;  0.1840;   98.8;  100.0;  1.42e-01;
         0;  0.1000;   3;     16;  0.1190;   98.8;  100.0;  1.42e-01;
         0;  0.1000;   7;   1751;  0.0630;   74.8;   94.0;  2.03e-01;
